eng_name,kor_name
A TESTONI,아 테스토니
ABATE,아바테
ACNE STUDIOS,아크네 스튜디오스
ACQUA DI PARMA,아쿠아 디 파르마
Add'l,애드엘
AERO,아에로
AF VANDEVORST,에이에프 반데보스트
AGANOVICH,아가노비치
AGENT PROVOCATEUR,에이전트 프로보케이터
AGNONA,아그노나
AIGLE,에이글
AIGNER,아이그너
AKRIS,아크리스
ALAA,알라이아
ALAIA,알라이아
Alanui,알라누이
ALBA MODA,알바 모다
ALBERTA FERRETTI,알베르타 페레티
ALBERTO BIANI,알베르토 비아니
ALBERTO GUARDIANI,알베르토 과르디아니
ALDEN,알덴
ALESSANDRO DELL'ACQUA,알레산드로 델라쿠아
ALESSANDRO GHERARDI,알레산드로 게라르디
ALEXANDER MCQUEEN,알렉산더 맥퀸
ALEXANDER WANG,알렉산더 왕
ALLEGRI,알레그리
ALPHA INDUSTRIES,알파 인더스트리
ALPHA STUDIO,알파 스튜디오
ALTEA,알테아
ALVIERO MARTINI,알비에로 마르티니
AMBUSH,앰부시
AMI,아미
AMI PARIS,아미 파리스
AMINA MUADDI,아미나무아디
Amiri,아미리
ANDREA INCONTRI,안드레아 인콘트리
ANDREA POMPILIO,안드레아 폼필리오
ANDREA VENTURA,안드레아 벤투라
ANDREATURCHI,안드레아투르치
ANGELO FIGUS,안젤로 피구스
ANGELO MARANI,안젤로 마라니
ANIYE BY,아니예 바이
ANNECLAIRE,앤클레어
ANTEPRIMA,안테프리마
ANTICA CUOIERIA,안티카 쿠오이에리아
ANTONELLI,안토넬리
ANTONELLI FIRENZE,안토넬리 피렌체
ANTONIO BERARDI,안토니오 베라르디
ANTONIO CROCE,안토니오 크로체
ANTONIO MARRAS,안토니오 마라스
ANYA HINDMARCH,아냐 힌드마치
apc,아페쎄
AQUAZZURA,아쿠아쥬라
ARCHETYP,아케타입
ARENA,아레나
ARMANI,아르마니
ARMANI COLLEZIONI,아르마니 콜레지오니
ARMANI JUNIOR,아르마니 주니어
ARTEMIS,아르테미스
ARTHUR ARBESSER,아서 아베서
ASPESI,아스페시
ASTRAET,아스트레트
ATOS LOMBARDINI,아토스 롬바르디니
ATP ATELIER,아뜰리에
ATTICO,아티코
AU JOUR LE JOUR,오 주르 르 주르
AUTRY,오트리
AVANT TOI,아방 토이
AVENUE,아베뉴
AVOIR,아부아르
AZZEDINE ALAIA,아제딘 알라이아
BAGUTTA,바구타
BALDAN,발단
BALDININI,발디니니
BALENCIAGA,발렌시아가
BALLANTYNE,발란타인
BALLANTYNE CASHMERE,발란타인 캐시미어
BALLIN,발린
BALLY,발리
BALMAIN,발망
BAOBAO,바오바오 이세이 미야케
BARBA,바르바
BARBA NAPOLI,바르바 나폴리
BARBARA ALAN,바바라 알란
BARBARA BUI,바바라 부이
BARBOUR,바버라
BARENA,바레나
BARK,바크
BARRACUDA,바라쿠다
BARRETT,바렛
BARROW,바로우
BEATRICE B,베아트리체 비
BELSTAFF,벨스타프
BENEDETTA BRUZZICHES,베네데타 브루지케스
BERETTA,베레타
BERLUTI,베를루티
BERNA,베르나
BERNHARD WILLHELM,베른하르트 빌헬름
BERTONI,베르토니
BERWICH,버위치
BETWEEN,비트윈
BIKKEMBERGS,비켐버그
BILLIONAIRE,빌리오네어
BLAUER,블라우어
BLUGIRL,블루걸
BLUMARBLE,블루마블
BLUMARINE,블루마린
BO.BO,보보
Bode,보디
BOGGI MILANO,보기 밀라노
BOGLIOLI,볼리올리
Boldrini Selleria,볼드리니 셀레리아
BOMBOOGIE,봄부기
BONOTTO,보노토
BONTONI,본토니
BORRIELLO,보리엘로
BOSS,보스
BOTTEGA MARTINESE,보테가 마르티네즈
BOTTEGA VENETA,보테가 베네타
BOTTEGA VENETA HOME,보테가 베네타 홈
BOTTICELLI LIMITED,보티첼리 리미티드
